DEPARTAMENTO,HORA,MODALIDAD,FALLECIDOS,HERIDOS
HUANCAVELICA,10:00,CHOQUE,0,5
JUNIN,17:40,CHOQUE,0,0
LIMA,20:50,ATROPELLO,0,1
LIMA,03:55,CHOQUE,0,0
LIMA,14:40,CHOQUE,0,0
JUNIN,01:45,DESPISTE,0,4
JUNIN,13:30,CHOQUE,1,2
TACNA,13:15,DESPISTE,0,1
APURIMAC,14:10,DESPISTE,0,1
LIMA,02:40,DESPISTE,0,0
PUNO,11:55,DESPISTE,0,0
APURIMAC,06:40,DESPISTE,0,0
ANCASH,05:30,CHOQUE,0,0
HUANUCO,06:40,CHOQUE,1,0
AREQUIPA,04:45,DESPISTE,0,0
AREQUIPA,13:20,CHOQUE,0,3
LAMBAYEQUE,22:08,CHOQUE,0,1
CUSCO,17:10,DESPISTE,0,3
AREQUIPA,20:00,DESPISTE,0,1
PIURA,05:20,DESPISTE,0,2
CUSCO,18:40,CHOQUE,0,2
